Pesquisa na web do Google interesse: gripe
Brasil 2015

Interesse ao longo do tempo
Semana,gripe
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,10
2015-02-01 - 2015-02-07,11
2015-02-08 - 2015-02-14,14
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,20
2015-03-01 - 2015-03-07,22
2015-03-08 - 2015-03-14,25
2015-03-15 - 2015-03-21,29
2015-03-22 - 2015-03-28,32
2015-03-29 - 2015-04-04,28
2015-04-05 - 2015-04-11,32
2015-04-12 - 2015-04-18,33
2015-04-19 - 2015-04-25,34
2015-04-26 - 2015-05-02,46
2015-05-03 - 2015-05-09,89
2015-05-10 - 2015-05-16,81
2015-05-17 - 2015-05-23,100
2015-05-24 - 2015-05-30,61
2015-05-31 - 2015-06-06,55
2015-06-07 - 2015-06-13,45
2015-06-14 - 2015-06-20,39
2015-06-21 - 2015-06-27,37
2015-06-28 - 2015-07-04,34
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,28
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,24
2015-08-02 - 2015-08-08,23
2015-08-09 - 2015-08-15,24
2015-08-16 - 2015-08-22,27
2015-08-23 - 2015-08-29,25
2015-08-30 - 2015-09-05,24
2015-09-06 - 2015-09-12,22
2015-09-13 - 2015-09-19,22
2015-09-20 - 2015-09-26,18
2015-09-27 - 2015-10-03,17
2015-10-04 - 2015-10-10,17
2015-10-11 - 2015-10-17,18
2015-10-18 - 2015-10-24,19
2015-10-25 - 2015-10-31,18
2015-11-01 - 2015-11-07,18
2015-11-08 - 2015-11-14,18
2015-11-15 - 2015-11-21,18
2015-11-22 - 2015-11-28,18
2015-11-29 - 2015-12-05,19
2015-12-06 - 2015-12-12,20
2015-12-13 - 2015-12-19,19
2015-12-20 - 2015-12-26,18
2015-12-27 - 2016-01-02,19


Principais sub-regiões para gripe
Sub-região,gripe
Roraima,100
Amapá,85
Tocantins,82
Santa Catarina,81
Acre,81
Piauí,78
Paraná,77
Goiás,75
Distrito Federal,73
Rio Grande do Sul,73
Maranhão,70
Mato Grosso do Sul,70
Sergipe,70
Rondônia,70
São Paulo,69
Mato Grosso,68
Minas Gerais,68
Bahia,65
Espírito Santo,64
Rio Grande do Norte,63
Ceará,60
Alagoas,60
Amazonas,59
Rio de Janeiro,58
Pará,55
Pernambuco,52
Paraíba,49


Principais cidades para gripe
Cidade,gripe
Santo André,100



Principais pesquisas para gripe
a gripe,100
vacina,95
vacina gripe,95
remedio gripe,60
vacina da gripe,55
gripe sintomas,50
remedio para gripe,45
resfriado,30
gripe resfriado,30
vacina gripe 2015,30
vacina de gripe,25
cha gripe,25
sintomas da gripe,25
vacinação gripe,25
sintomas de gripe,20
vacina contra gripe,20
cha para gripe,20
chá para gripe,20
remedio de gripe,20
gripe e resfriado,15
vacinação gripe 2015,15
curar gripe,15
campanha gripe 2015,10
gripe forte,10
remédio para gripe,10
vacina para gripe,10
dengue sintomas,10
gripe h1n1,10
h1n1,10
vacinação contra gripe,10
remedio pra gripe,10
virus da gripe,10
gripe na gravidez,10
gripe como curar,10
remedios para gripe,10
gripe tratamento,10
gripe a sintomas,10
sintomas da dengue,5
gripe suina,5
gripe espanhola,5
bebe com gripe,5
pneumonia,5
gripe em bebe,5
xarope para gripe,5
gripe da febre,5
cid gripe,5
gripe alergica,5
reação vacina gripe,5
sintomas de dengue,5
gripe com febre,5



Pesquisas em ascensão para gripe
campanha gripe 2015,Aumento repentino
vacina gripe 2015,Aumento repentino
vacinação gripe 2015,Aumento repentino
vestido de gripe,+100%
remédio pra gripe,+70%
cha de gengibre,+60%
gripe chikungunya,+60%
dengue sintomas,+50%
sintomas da dengue,+50%
sintomas de dengue,+50%



